"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1000000US360470005012001","Block 2001, Block Group 2, Census Tract 5.01, Kings County, New York","492"
"1000000US360470005012000","Block 2000, Block Group 2, Census Tract 5.01, Kings County, New York","544"
"1000000US360470005013000","Block 3000, Block Group 3, Census Tract 5.01, Kings County, New York","168"
"1000000US360470005013001","Block 3001, Block Group 3, Census Tract 5.01, Kings County, New York","626"
"1000000US360470005021002","Block 1002, Block Group 1, Census Tract 5.02, Kings County, New York","0"
"1000000US360470005021001","Block 1001, Block Group 1, Census Tract 5.02, Kings County, New York","595"
"1000000US360470005021000","Block 1000, Block Group 1, Census Tract 5.02, Kings County, New York","789"
"1000000US360470005022001","Block 2001, Block Group 2, Census Tract 5.02, Kings County, New York","185"
"1000000US360470005022002","Block 2002, Block Group 2, Census Tract 5.02, Kings County, New York","738"
"1000000US360470005022000","Block 2000, Block Group 2, Census Tract 5.02, Kings County, New York","205"
"1000000US360470007001002","Block 1002, Block Group 1, Census Tract 7, Kings County, New York","0"
"1000000US360470007001000","Block 1000, Block Group 1, Census Tract 7, Kings County, New York","214"
"1000000US360470007001004","Block 1004, Block Group 1, Census Tract 7, Kings County, New York","206"
"1000000US360470007001001","Block 1001, Block Group 1, Census Tract 7, Kings County, New York","444"
"1000000US360470007001003","Block 1003, Block Group 1, Census Tract 7, Kings County, New York","280"
"1000000US360470007002001","Block 2001, Block Group 2, Census Tract 7, Kings County, New York","369"
"1000000US360470007002002","Block 2002, Block Group 2, Census Tract 7, Kings County, New York","236"
"1000000US360470007002000","Block 2000, Block Group 2, Census Tract 7, Kings County, New York","372"
"1000000US360470007003002","Block 3002, Block Group 3, Census Tract 7, Kings County, New York","231"
"1000000US360470007003003","Block 3003, Block Group 3, Census Tract 7, Kings County, New York","353"
"1000000US360470007003001","Block 3001, Block Group 3, Census Tract 7, Kings County, New York","433"
"1000000US360470007003000","Block 3000, Block Group 3, Census Tract 7, Kings County, New York","221"
"1000000US360470009001002","Block 1002, Block Group 1, Census Tract 9, Kings County, New York","27"
"1000000US360470009001000","Block 1000, Block Group 1, Census Tract 9, Kings County, New York","12"
"1000000US360470009001003","Block 1003, Block Group 1, Census Tract 9, Kings County, New York","552"
"1000000US360470009001004","Block 1004, Block Group 1, Census Tract 9, Kings County, New York","315"
"1000000US360470009001005","Block 1005, Block Group 1, Census Tract 9, Kings County, New York","691"
"1000000US360470009001006","Block 1006, Block Group 1, Census Tract 9, Kings County, New York","377"
"1000000US360470009001001","Block 1001, Block Group 1, Census Tract 9, Kings County, New York","409"
"1000000US360470009002001","Block 2001, Block Group 2, Census Tract 9, Kings County, New York","195"
"1000000US360470009002002","Block 2002, Block Group 2, Census Tract 9, Kings County, New York","271"
"1000000US360470009002003","Block 2003, Block Group 2, Census Tract 9, Kings County, New York","547"
"1000000US360470009002000","Block 2000, Block Group 2, Census Tract 9, Kings County, New York","776"
"1000000US360470011001002","Block 1002, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001003","Block 1003, Block Group 1, Census Tract 11, Kings County, New York","9"
"1000000US360470011001004","Block 1004, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001011","Block 1011, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001013","Block 1013, Block Group 1, Census Tract 11, Kings County, New York","6"
"1000000US360470011001012","Block 1012, Block Group 1, Census Tract 11, Kings County, New York","10"
"1000000US360470011001000","Block 1000, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001006","Block 1006, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001001","Block 1001, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001005","Block 1005, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001007","Block 1007, Block Group 1, Census Tract 11, Kings County, New York","33"
